# Comment
#OTU ID	Smpl1	Smpl2	Smpl3	Smpl4	Smpl5	Smpl6	Smpl7	Smpl8	Smpl9	Smpl10	Smpl11	Smpl12	Smpl13	Smpl14	Smpl15	Smpl16	Smpl17	Smpl18	Smpl19	Smpl20	taxonomy
4371880	0	0	0	0	0	0	0	0	0	0	3	0	8	8	4	17	7	7	24	33	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella
192708	1239	673	842	2344	319	970	1152	306	800	1340	1204	2005	990	1864	2078	1720	356	51	1508	1616	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
182890	946	409	780	555	109	605	687	339	778	811	891	946	1079	1149	1206	875	395	741	971	344	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
190708	0	0	0	0	0	0	0	0	0	0	3276	3369	3310	2359	2419	2890	1247	2558	3887	3372	k__Bacteria; p__Firmicutes; c__Clostridia
319153	85	50	107	72	9	137	76	68	56	12	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__; s__
537219	476	420	1175	871	296	1000	396	791	1479	881	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
3876673	51	1	22	18	13	25	53	2	30	24	30	7	75	50	83	18	25	62	104	53	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
230232	3	1	1	2	0	2	3	3	3	3	5	3	3	1	2	5	0	5	2	6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
192893	258	115	186	184	70	79	2	13	160	171	230	172	43	96	288	109	79	125	107	160	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
186092	0	0	0	0	0	0	0	0	0	0	16	6	2	0	10	11	8	6	8	19	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
175585	206	198	177	323	97	212	273	145	318	237	198	342	123	328	197	236	111	197	225	243	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
310301	4	0	0	15	0	20	24	4	44	13	25	18	5	23	0	8	0	32	35	26	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
205934	25	7	19	6	10	27	25	6	30	11	1	13	11	45	13	28	1	17	9	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
189866	269	187	209	324	151	258	355	230	166	212	301	408	489	570	529	708	75	463	456	323	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
180903	17	15	9	59	0	16	28	0	0	20	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
195807	0	0	0	0	0	0	0	0	0	0	212	320	317	463	320	240	130	400	444	365	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
186061	9	3	4	7	0	29	0	3	14	7	16	15	6	23	25	13	3	28	8	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
190260	0	0	0	0	0	0	0	0	0	0	27	0	0	34	0	43	1	0	10	34	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
195752	876	516	1024	849	38	952	633	475	61	601	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__; s__
316497	33	1	6	24	0	15	0	17	23	29	66	116	0	128	138	144	43	117	92	71	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
333949	19	14	29	30	4	3	18	9	0	12	0	39	0	16	10	5	9	31	0	18	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
4318098	100	79	10	114	33	0	0	77	25	92	0	151	39	65	103	4	29	0	31	55	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar
178991	60	54	95	56	14	52	44	43	45	58	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
341322	59	53	63	64	16	0	72	5	46	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__
173883	344	224	314	292	115	302	461	85	142	283	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
295478	37	33	99	36	0	14	75	13	63	10	0	107	33	46	34	22	24	86	72	60	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
230263	812	302	480	750	291	677	236	181	961	465	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__p-75-a5; s__
355120	140	89	66	238	58	96	78	50	216	58	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
175279	75	55	63	36	21	53	60	28	92	104	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
370086	138	83	36	106	37	38	97	27	106	51	98	127	105	35	52	56	39	123	4	59	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
179686	269	161	286	226	43	312	280	168	336	181	282	250	197	312	117	310	58	193	294	183	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
198243	332	356	548	450	157	296	352	234	572	495	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
356445	0	0	0	0	0	0	1	0	0	0	2929	941	3472	3272	2985	2783	728	3828	3176	1912	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
173811	0	0	6	0	0	0	2	3	9	12	0	2	13	0	14	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia
326271	2376	1760	1831	1334	579	860	216	681	324	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
311370	813	233	490	646	194	1088	671	231	66	599	873	880	800	1184	757	725	186	695	158	466	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
187816	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
183886	252	45	99	156	47	190	49	62	102	191	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
185988	46	13	27	0	19	0	15	11	28	13	36	28	15	5	6	28	14	23	20	19	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
186596	12	4	0	7	2	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
174943	0	9	42	0	0	9	20	0	8	46	54	19	6	30	0	22	11	0	65	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
325326	0	0	0	0	0	0	0	0	0	0	327	181	341	246	400	223	43	357	70	153	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
174078	35	0	25	14	0	41	20	25	44	34	41	61	7	56	42	10	6	42	20	18	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
4464717	167	89	118	126	42	2	22	57	139	94	6	38	98	119	38	118	66	44	178	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
177478	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__
323473	208	138	116	466	63	1	421	124	174	283	123	484	326	262	94	341	101	201	19	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__; s__
132829	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
192462	58	25	46	38	11	22	14	16	35	25	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
184745	0	0	0	0	0	0	0	0	0	0	631	491	838	546	618	683	179	829	574	810	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens
355102	0	1	0	6	0	0	0	2	0	1	0	0	8	0	0	4	0	0	0	16	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
180654	0	0	0	0	0	0	0	0	0	0	0	38	0	62	98	27	48	0	0	109	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
367889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
177905	146	137	233	92	62	57	110	59	242	58	0	0	0	0	0	4	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
186259	117	61	26	32	32	126	139	24	24	64	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
176645	0	30	79	26	33	59	8	16	76	57	95	188	115	124	87	156	49	57	78	144	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
344783	103	52	101	60	29	106	98	45	96	82	83	103	110	103	82	106	34	88	94	84	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__
178961	219	142	357	255	144	241	354	272	183	240	136	51	9	9	110	45	0	99	95	55	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
197708	28	13	38	30	11	54	45	0	28	23	4	44	0	0	0	23	8	0	7	30	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
4358818	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	0	0	0	7	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
760544	42	40	24	40	29	83	65	32	58	78	65	48	47	64	36	69	21	46	62	83	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
196905	0	0	0	0	0	0	0	0	0	0	26	0	18	51	18	0	7	19	35	16	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
422295	0	0	0	0	0	0	0	0	0	0	16	111	5	55	94	127	50	18	182	146	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
182497	0	20	44	0	9	12	0	15	0	15	0	17	19	26	11	0	6	9	21	15	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
4422456	28	7	6	12	0	7	21	30	0	27	7	30	14	0	19	2	0	6	47	57	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella
190351	20	0	25	20	7	23	23	2	18	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
531436	4	0	15	15	0	6	0	1	16	0	2	0	5	0	9	10	0	6	18	12	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
661266	217	85	153	200	72	183	171	91	194	227	256	223	192	164	218	224	85	190	167	191	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
327704	15	0	1	16	3	9	17	8	13	26	0	1	28	3	14	8	2	14	7	10	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
184553	156	54	111	110	59	73	111	59	159	173	859	668	576	335	895	1078	355	205	752	826	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
26978	976	529	782	824	276	628	1038	510	777	949	51	162	75	186	84	123	41	62	146	108	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
185883	0	0	0	0	0	0	0	0	0	0	36	13	15	16	0	14	8	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
185745	0	0	0	0	0	0	0	0	0	0	259	315	128	233	102	206	58	271	266	209	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
197757	0	0	0	9	0	0	1	0	0	0	7	50	26	0	15	0	37	79	47	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
145801	0	0	13	12	2	7	0	0	0	0	7	26	3	5	0	0	7	5	10	0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__[Coprobacillaceae]; g__; s__
137026	0	0	41	6	6	16	0	15	14	34	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__agilis
522135	0	0	0	6	0	0	2	11	17	0	1	19	0	5	31	23	0	23	0	40	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
179987	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
189334	280	205	461	465	136	504	352	269	0	427	32	42	16	4	0	2	10	38	24	24	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
178839	37	10	91	90	14	106	55	33	85	82	23	69	75	94	64	70	15	13	47	45	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
191180	478	512	576	537	170	771	550	266	516	578	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
184025	240	224	219	220	88	510	301	181	221	492	115	111	60	317	137	488	166	174	364	283	k__Bacteria; p__Firmicutes; c__Clostridia
295705	1663	604	720	1630	260	805	560	504	932	978	755	867	948	715	687	846	289	1056	1104	964	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__[Coprobacillaceae]; g__Catenibacterium; s__
178121	385	185	241	4	0	255	261	58	288	238	302	0	88	459	441	265	91	466	218	246	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
326136	0	1	7	4	0	9	0	1	0	9	0	0	0	20	0	0	0	11	2	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
308544	0	0	0	0	0	0	0	0	0	0	883	895	893	1318	856	936	94	982	611	814	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
187883	52	73	121	0	38	12	87	0	108	164	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
334864	640	310	736	727	120	699	1024	420	692	394	588	414	371	1091	867	127	109	216	970	750	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
180155	7	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
181828	0	0	0	0	0	0	0	0	0	0	81	41	50	43	20	42	1	10	55	53	k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__; s__
189085	193	72	177	113	72	154	157	83	184	214	98	179	145	92	110	126	49	148	174	216	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
184678	0	0	12	0	1	0	0	3	13	15	0	0	6	7	28	24	4	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
359044	18	4	24	26	7	13	13	2	10	7	3	16	6	24	23	1	8	15	5	11	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
183116	0	40	62	63	22	32	55	41	10	26	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
180846	0	0	0	0	0	0	0	0	0	0	358	352	193	379	298	268	102	385	223	254	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
197524	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
189064	34	13	0	0	0	1	4	8	0	16	15	15	19	0	19	0	0	15	23	7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
182989	85	62	220	62	42	91	46	67	150	156	33	162	104	132	206	104	51	88	337	250	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
517282	76	26	0	23	17	50	46	31	21	43	86	0	0	88	51	96	7	67	28	12	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
321902	0	0	0	0	0	0	0	0	0	0	104	134	124	153	51	161	25	124	141	114	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
179677	187	145	233	276	97	256	261	123	230	260	298	142	184	310	312	194	59	126	273	201	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
176211	0	0	0	0	0	0	0	0	0	0	89	87	135	138	137	98	37	118	153	206	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
192563	62	47	115	20	35	79	93	58	155	48	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
187517	18	15	29	40	13	31	32	13	21	32	48	52	37	27	41	36	10	22	24	29	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
4306177	0	5	1	0	4	18	3	0	9	10	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
353155	52	37	31	0	0	39	1	15	74	36	82	6	0	5	31	45	3	0	12	17	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
176312	171	0	180	73	92	121	172	63	49	169	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
522025	36	11	3	0	4	26	0	13	2	0	0	0	0	0	15	3	0	2	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
86170	0	0	0	0	0	0	0	0	0	0	159	222	94	46	150	195	52	199	127	99	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
174489	441	352	1104	872	261	856	1187	256	813	426	751	928	713	291	747	748	244	410	597	809	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnobacterium; s__
354517	318	57	235	44	67	339	168	129	298	217	304	293	271	262	273	192	69	148	308	96	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
212532	2733	1017	2976	2079	1036	1914	1670	1407	2833	2176	12	52	17	20	79	70	17	0	88	25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
518748	52	13	48	54	24	0	46	11	19	8	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
178882	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	1	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
188820	0	0	0	0	0	0	0	0	0	0	100	333	224	43	62	335	94	199	150	338	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
495095	13	12	18	0	0	11	11	11	8	17	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae
146586	461	213	411	399	176	317	372	192	370	482	0	0	12	0	20	3	0	0	7	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
185670	175	159	43	58	79	74	167	51	80	269	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__; g__; s__
181056	142	11	155	52	47	123	67	121	122	63	668	453	553	798	485	997	135	761	464	727	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
204126	0	0	0	0	0	0	0	0	0	0	149	187	296	217	277	238	3	346	223	417	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
357529	0	0	0	0	0	0	0	0	0	0	93	139	162	288	100	96	23	182	249	195	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
174638	102	14	102	250	13	254	158	67	281	141	238	93	381	0	229	241	142	239	229	134	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__; s__
183220	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	3	8	6	3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
4387706	158	161	42	147	41	236	163	110	142	255	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
328892	0	0	0	0	0	0	0	0	0	0	34	28	37	30	36	30	9	41	28	32	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
