#OTU ID	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	taxonomy
315391	4	1	33	0	2	1	10	71	1	358	407	10	35	2	4	0	2	6421	4	9	15	0	2	2	10	133	4	241	410	10	36	2	4	0	1	4095	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
2295957	10	181	1	91	0	5	84	40	0	3	5	13	12	0	3	2941	1183	5	10	796	1	91	0	8	85	63	0	2	5	13	18	0	3	3442	600	4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia;
2132002	130	1	46	151	61	216	7	0	13	40	449	977	85	600	2385	162	18	125	129	2	34	151	35	284	7	0	37	25	451	981	115	602	2364	186	15	81	k__Bacteria; p__Firmicutes; c__Clostridia;
183603	1	166	192	0	0	0	209	53	7	0	4	194	1890	34	1521	91	0	2	1	669	127	0	0	0	211	79	33	0	4	193	2454	34	1523	110	0	1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides;
190220	10	0	6	4392	2	0	7	14	126	24	20	4	34	4	0	5	695	1	10	1	5	4421	1	0	7	19	339	17	21	4	47	4	0	7	358	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira;
175750	11	0	0	412	1476	1	89	29	0	8	194	3	106	15	2654	18	2	27	11	1	0	412	957	1	89	48	2	5	195	3	130	15	2633	22	1	17	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus;
187668	2	1	0	18	183	3	293	16	1	2	2	5	2654	16	909	60	1	0	2	5	0	18	115	3	293	24	2	1	2	5	3530	16	903	70	1	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
120281	640	8	15	0	8	7	0	1	19	5	27	3	599	437	3028	0	2	31	645	36	12	0	3	8	0	1	53	1	27	3	772	439	3054	0	0	20	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales;
360315	0	0	0	0	0	0	0	0	0	9	0	5047	0	11	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	5064	0	11	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
176230	92	155	866	1358	2	3	0	343	29	1	0	2	163	4	840	0	0	18	92	590	560	1360	2	5	0	559	96	0	0	2	211	4	840	0	0	12	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides;
189887	16	29	107	584	172	75	31	452	62	42	95	37	134	93	2	1128	196	310	16	131	71	581	122	92	31	700	170	25	95	37	178	92	2	1317	94	204	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus;
2833757	184	23	578	1	5	160	72	4	41	179	23	64	1211	3	503	3	2	838	184	105	383	1	4	217	72	10	110	127	24	64	1615	3	503	5	1	540	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
26978	0	0	0	0	1	0	1	0	1	631	0	0	1	1	0	2735	1	1	0	0	0	0	1	0	1	0	1	460	0	0	1	1	0	3230	1	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
182271	3	25	38	65	0	158	70	53	19	131	1	24	2475	54	180	5	1	235	3	86	26	65	0	218	70	83	54	103	1	24	3185	54	180	6	1	162	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
511510	53	0	173	3	69	12	171	1	0	0	4	7	2	1	1	6	3857	2	53	1	111	3	46	16	172	1	0	0	4	7	2	1	1	8	1944	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
191043	9	36	88	20	161	526	62	112	3	46	243	1411	113	320	0	329	16	18	9	213	49	20	104	704	62	179	11	32	243	1416	150	320	0	405	9	14	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales;
308544	137	13	13	94	71	161	15	65	7	10	1158	2	626	3	1414	6	0	3	136	54	11	94	40	216	15	90	30	6	1153	2	794	3	1414	7	0	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
4303423	18	2	3	0	252	0	1	3	2	2379	27	35	0	0	0	0	1	1320	18	4	2	0	166	0	1	3	6	1621	27	35	0	0	0	0	0	867	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2;
182744	433	58	0	11	32	36	5	91	21	320	10	47	316	0	278	6	1	1766	432	248	0	11	21	46	5	151	59	228	10	47	414	0	279	9	1	1117	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia;
839610	97	2	8	91	118	536	39	431	15	9	35	48	143	359	0	282	555	60	98	15	6	92	77	739	39	682	41	6	35	48	195	356	0	332	275	47	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
187945	60	43	62	16	8	445	10	18	12	22	236	62	141	6	1832	126	3	8	60	170	47	16	5	573	10	29	33	19	237	62	166	6	1830	145	3	5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
307238	0	0	0	69	54	0	3026	44	0	0	6	1	5	4	0	0	98	1	0	1	0	69	34	0	3042	71	6	0	6	1	7	4	0	0	44	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus;
186139	3	1	0	0	130	0	99	4	0	0	0	11	58	41	2424	218	1	0	3	4	0	0	81	0	99	13	1	0	0	11	75	41	2412	266	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
187998	4	2	976	27	2	3	2	1054	2	6	5	106	2	2	3	2	2	225	4	3	617	27	1	3	2	1660	3	6	5	107	2	2	3	2	0	139	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus;
299732	1	0	1	227	0	0	0	0	163	0	1	7	0	20	1	3	2310	0	1	2	1	225	0	0	0	0	415	0	1	7	1	20	1	4	1133	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira;
179137	113	63	119	187	36	24	38	52	27	208	731	20	266	656	0	0	2	37	112	261	65	189	22	31	38	78	81	136	738	20	337	655	0	0	0	21	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
2056702	451	21	65	2	3	306	3	129	64	52	300	183	6	2	25	200	11	654	451	90	44	2	2	400	3	199	159	40	299	181	8	2	25	238	5	419	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
4325533	32	15	26	3	4	4	110	1639	8	1	3	2	1	33	7	2	0	0	32	95	14	3	3	5	111	2592	19	1	3	2	1	33	7	3	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae;
183220	171	7	21	4	1	58	17	17	16	11	23	3	73	1	1969	3	3	384	172	18	13	4	1	72	17	29	42	4	23	3	95	1	1950	2	2	243	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus];
760544	51	8	3	365	636	14	92	39	7	0	1	90	157	1068	1	17	196	0	51	26	2	364	412	19	92	60	20	0	1	90	205	1062	1	19	89	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
174278	287	0	0	4	1	1	427	3	4	0	7	0	0	10	0	779	834	1	289	0	0	4	1	1	429	5	10	0	7	0	0	10	0	895	462	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira;
235262	11	5	64	307	0	167	0	128	0	1	339	156	168	591	0	174	210	0	11	19	39	309	0	228	0	206	0	0	338	156	208	596	0	202	104	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__Coriobacteriaceae;
2582660	15	1	6	11	79	107	9	500	4	10	125	152	42	290	818	27	1	1	15	4	2	11	55	135	9	777	10	6	125	151	53	287	825	28	1	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales;
359098	0	0	0	0	0	325	1307	204	2	1	0	329	89	1	1	1	1	0	0	0	0	0	0	419	1313	317	2	1	0	329	110	1	1	0	1	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium;
1109362	8	3	7	18	0	13	124	0	0	1	6	1158	681	3	12	107	63	4	8	9	3	18	0	14	124	1	0	1	6	1169	905	3	12	119	30	2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae;
186819	12	7	67	5	59	3	0	21	16	23	42	112	64	1	1705	59	2	103	12	20	41	5	45	3	0	36	36	16	42	112	78	1	1709	83	1	66	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
183885	7	7	73	16	14	72	17	20	455	18	75	18	197	1	399	6	1	70	7	25	40	16	10	98	17	28	1256	12	76	18	263	1	401	7	0	55	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
194659	2	78	1	1	1	85	41	0	209	1	2	441	1	1	0	186	457	1	2	338	1	1	0	112	41	0	602	1	2	442	1	1	0	223	225	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira;
176833	306	1	70	53	8	469	35	109	0	16	0	685	175	8	58	1	4	13	305	11	47	53	7	585	35	177	5	11	0	689	240	8	58	2	1	10	k__Bacteria; p__Firmicutes; c__Clostridia;
215269	242	0	0	8	80	0	3	241	4	0	455	532	100	318	28	8	5	51	244	0	0	8	46	0	3	383	14	0	456	535	128	315	28	7	4	29	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
181008	4	0	0	80	53	10	97	30	4	0	797	0	87	20	1	425	286	2	4	0	0	79	34	13	97	53	12	0	805	0	126	20	1	492	152	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae;
840961	0	1	27	860	3	20	288	2	0	2	1	89	28	0	10	1	741	0	0	2	14	866	1	21	290	5	1	2	1	90	39	0	10	2	370	0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
184991	33	2	3	52	39	142	13	82	0	3	142	47	63	133	1060	104	0	14	33	9	1	52	29	172	13	123	3	1	143	47	76	133	1065	121	0	9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
302160	4	15	103	15	0	3	509	1	0	5	243	10	104	0	0	516	56	145	4	83	66	15	0	3	509	1	1	3	245	10	144	0	0	588	29	105	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
859619	70	10	66	6	320	48	160	61	11	1	13	247	40	46	700	23	8	7	70	39	45	6	209	63	161	94	23	1	13	245	53	46	706	27	6	3	k__Bacteria; p__Firmicutes; c__Clostridia;
179319	73	33	447	22	374	75	3	1	13	36	215	111	133	0	52	39	18	115	73	97	301	22	243	94	3	1	44	27	215	110	164	0	52	54	7	78	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
186592	96	33	16	37	9	102	199	239	2	27	0	231	168	158	204	35	1	12	97	131	10	37	6	136	199	382	4	22	0	232	216	159	203	34	1	7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus;
175560	0	0	57	181	24	31	6	0	3	1	976	419	3	92	8	8	0	0	0	0	39	182	17	48	6	0	8	1	973	418	4	92	8	10	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
288054	432	24	0	0	1	1	0	122	2	2	204	2	397	1	3	0	336	1	435	107	0	0	0	1	0	179	5	1	207	2	526	1	3	0	154	1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus;
178675	34	8	6	9	325	148	536	1	26	8	30	5	38	96	0	254	48	11	34	26	3	9	226	205	534	1	64	5	30	5	56	96	0	284	21	9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
163243	1	1	97	1	21	0	1	848	0	3	68	63	89	15	1	0	0	2	1	6	59	1	16	0	1	1358	1	3	68	63	117	15	1	0	0	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
367889	150	0	1	21	234	45	0	101	3	0	94	0	11	60	914	1	11	0	150	1	1	21	153	59	0	161	9	0	95	0	14	60	912	1	7	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
182008	2	0	2	0	0	0	2	1052	0	1	0	0	5	0	0	0	0	0	2	0	1	0	0	0	2	1633	0	0	0	0	9	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
179665	20	1	176	100	0	59	200	124	29	5	372	1	0	2	368	9	4	14	20	7	113	101	0	74	199	187	69	4	378	1	0	2	371	11	2	9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
1889556	2	1	94	358	60	3	23	585	23	1	0	4	23	13	29	0	0	0	2	4	63	359	37	3	23	916	58	1	0	4	25	13	29	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales;
180661	24	158	19	1	1	5	1	238	64	5	12	3	27	2	1	25	3	10	24	673	8	1	1	5	1	374	171	5	12	3	31	2	1	27	2	8	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
525966	23	2	4	0	0	0	13	1	20	6	1029	17	50	1	51	59	1	107	23	12	2	0	0	0	13	2	41	4	1035	17	69	1	51	59	1	59	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus;
180285	42	1	1	69	25	117	16	110	13	18	1	16	0	61	1	6	739	34	42	1	1	69	15	164	16	184	31	12	1	16	1	61	1	8	376	24	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
198118	52	8	50	155	51	268	7	217	0	2	1	71	38	46	0	69	55	25	52	39	31	154	35	352	7	332	0	2	1	71	47	46	0	82	30	19	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales;
181432	0	0	0	0	0	0	47	864	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	47	1337	0	0	0	0	1	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__Paraprevotella;
188861	7	44	1	410	5	69	0	53	0	1	19	1	10	43	0	10	367	0	7	178	1	412	5	92	0	76	0	0	19	1	10	43	0	11	187	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales;
346938	0	0	0	0	0	0	0	0	2	1229	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	809	0	0	1	0	0	0	0	1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella];
193446	299	0	8	37	250	39	11	31	2	4	70	99	33	50	211	26	0	4	298	1	6	37	159	49	11	46	4	4	70	98	46	50	212	33	0	4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
292735	7	6	1	0	0	0	0	18	2	1	572	0	67	0	459	0	0	0	7	36	0	0	0	1	0	27	7	0	581	0	87	0	464	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
69933	1	0	0	181	248	0	664	72	0	0	0	0	0	0	11	0	0	0	1	0	0	179	147	0	658	101	0	0	0	0	0	0	11	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium;
4336939	2	0	0	69	180	14	0	0	228	1	21	15	125	0	0	0	147	1	2	2	0	68	113	14	0	0	590	1	21	15	161	0	0	0	86	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus;
350297	6	142	0	156	69	0	2	17	36	3	0	1	0	0	0	3	6	1	6	708	0	158	43	0	2	29	102	2	0	1	0	0	0	3	3	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira;
177217	6	0	0	33	7	710	50	9	13	6	7	10	11	4	1	5	14	5	6	3	0	33	7	945	50	18	26	4	7	10	19	4	1	5	8	4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae;
929836	0	0	0	1	0	0	52	220	0	0	0	0	82	0	0	0	602	0	0	0	0	1	0	0	52	336	0	0	0	0	106	0	0	0	303	0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__[Coprobacillaceae]; g__Coprobacillus;
4336546	0	0	0	0	20	0	5	0	1	0	0	1	0	19	1042	2	0	0	0	2	0	0	17	0	5	1	1	0	0	1	0	19	1050	1	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__Coriobacteriaceae;
177905	153	2	6	37	60	56	171	10	27	0	24	183	64	30	50	19	17	54	152	26	5	37	41	67	169	11	86	0	24	182	85	30	50	24	8	33	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales;
182656	3	0	27	0	0	7	177	1	2	0	3	343	314	1	58	22	6	0	3	0	21	0	0	7	178	2	4	0	3	341	418	1	58	23	4	0	k__Bacteria; p__Firmicutes; c__Clostridia;
300650	0	0	21	407	12	141	0	10	66	2	148	1	0	0	1	29	2	60	0	0	14	405	8	188	0	14	177	0	151	1	1	0	1	33	1	39	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella];
180754	3	0	0	370	0	425	55	0	0	0	22	0	0	54	0	0	0	0	3	0	0	369	0	555	55	0	0	0	22	0	1	54	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia;
175099	1	0	0	0	0	260	0	1	0	81	0	120	0	0	0	221	8	191	1	0	0	0	0	331	0	1	0	52	0	120	0	0	0	261	8	125	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales;
4397200	0	0	0	0	0	1	0	0	0	1	0	0	760	0	0	15	0	0	0	0	0	0	0	1	0	0	0	1	0	0	991	0	0	14	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella;
174036	30	43	85	64	20	0	0	75	11	0	0	3	146	98	0	1	2	2	30	216	50	64	15	0	0	113	31	0	0	3	185	97	0	1	1	1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter;
368698	14	2	14	15	12	131	29	26	2	6	50	66	55	199	0	79	4	32	14	8	13	15	9	178	29	45	10	3	51	66	71	199	0	89	2	16	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus];
180082	0	1	185	0	152	1	33	0	157	0	5	0	15	15	0	0	1	0	0	3	128	0	103	1	33	1	434	0	5	0	17	15	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae;
178839	0	0	0	42	1	0	47	17	3	0	293	0	238	29	0	19	45	9	0	0	0	42	0	0	47	22	13	0	296	0	304	29	0	22	12	5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales;
1024529	0	0	0	5	0	0	1	498	0	0	12	0	13	0	0	1	2	0	0	0	0	5	0	1	1	777	0	0	12	0	26	0	0	0	1	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae;
4441081	0	0	0	31	0	40	66	0	3	2	80	0	27	78	0	233	141	0	0	0	0	31	0	53	66	0	4	1	80	0	30	79	0	274	72	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales; f__Coriobacteriaceae;
345301	0	0	4	89	0	0	1	0	44	0	0	0	0	23	0	0	554	0	0	2	2	89	0	0	1	0	123	0	0	0	0	23	0	0	275	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira;
189548	13	0	1	139	71	36	165	9	0	0	54	69	37	22	121	11	0	12	13	0	1	139	51	43	165	16	0	0	54	69	50	22	121	11	0	8	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
