	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	KEGG_Pathways
15	66314	77007	78844	70392	61309	79362	70521	74155	62616	67536	77480	77217	72804	66092	84336	77363	63870	68948	67624	65238	Environmental Information Processing; Membrane Transport; ABC transporters
16	69380	72310	67078	73312	74902	64250	73202	66641	78398	69208	73106	62859	75960	76131	64138	65696	75889	68775	74128	68949	Metabolism; Amino Acid Metabolism; Arginine and proline metabolism
17	74843	62405	72690	69857	69247	64633	72510	65604	71442	66655	75100	66210	75827	77978	70364	72591	73650	65637	74187	66832	Metabolism; Energy Metabolism; Carbon fixation pathways in prokaryotes
18	73162	74848	69970	61730	76012	65050	71973	66698	70382	68502	68949	64308	70625	77126	65815	70710	75663	70184	65249	70827	Unclassified; Metabolism; Energy metabolism
19	67683	73713	68141	64243	67094	73639	70584	66034	72039	69480	67559	62007	71256	71778	62401	64639	66113	65565	66635	72348	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
20	67410	73421	70493	73622	71136	74211	68282	70974	68848	73361	68541	58715	59796	60249	63750	63345	61044	65938	68678	61174	Genetic Information Processing; Folding, Sorting and Degradation; Chaperones and folding catalysts
21	64391	61852	63262	63172	63405	66195	64117	59441	65908	72956	72339	68066	60935	72031	65689	67512	70907	59414	67433	68463	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
22	65541	73564	65462	61078	74275	65101	73183	72395	62540	67467	64001	62443	58545	65374	62157	64109	59819	64251	59942	55727	Unclassified; Poorly Characterized; Function unknown
23	60232	60978	59379	69764	64928	62334	63329	64831	64053	68539	54048	54028	57082	58100	51477	62346	59417	59480	53493	51794	Genetic Information Processing; Replication and Repair; Homologous recombination
24	56408	64463	64982	57781	53372	59918	64153	66300	64604	63885	53295	62858	56673	53325	55482	54682	55977	57389	63078	58149	Unclassified; Cellular Processes and Signaling; Other ion-coupled transporters
25	53921	51292	50612	56321	55380	52421	57746	50273	55680	58642	54723	58388	53296	57527	53187	54079	57519	53243	55768	50208	Metabolism; Carbohydrate Metabolism; Glycolysis / Gluconeogenesis
26	53347	53153	50992	50498	55801	57293	59329	51547	54249	55543	52659	55448	54879	58283	53278	51637	57572	56989	51848	48915	Metabolism; Amino Acid Metabolism; Glycine, serine and threonine metabolism
27	47847	48397	57415	56758	58036	51176	51054	48994	53730	57062	55960	48096	55765	54327	57023	55042	58279	54076	48413	55105	Unclassified; Genetic Information Processing; Translation proteins
28	51962	54459	54389	53592	55244	45614	52746	47566	57138	54792	47996	53570	54094	49604	52793	51298	50319	55892	55846	50218	Metabolism; Amino Acid Metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis
29	58969	57546	50830	52734	58190	51398	54635	55886	57946	50901	47425	43582	51906	53710	47708	52195	53487	51826	50019	51030	Metabolism; Carbohydrate Metabolism; Pyruvate metabolism
30	52905	46171	48577	53033	52226	49835	50908	50974	52713	55446	47773	48514	51591	56909	46119	51980	48444	54535	50881	49686	Unclassified; Cellular Processes and Signaling; Membrane and intracellular structural molecules
31	51313	55004	60696	51234	58169	52486	49638	57989	52233	58529	45268	46509	50850	45309	41420	50317	45155	50336	47681	46373	Genetic Information Processing; Transcription; Transcription machinery
32	49600	53458	53791	48856	49115	49719	46522	56158	54679	54586	53322	47803	54708	54392	52462	45688	54859	47124	46885	54896	Metabolism; Carbohydrate Metabolism; Starch and sucrose metabolism
33	48183	55185	49927	49127	52793	51364	57976	56656	50139	58267	49255	50285	45502	49671	42480	50927	47341	43092	47791	48052	Genetic Information Processing; Replication and Repair; Mismatch repair
34	51336	48493	51311	52575	49358	46575	49732	47042	52978	47402	50769	46228	48387	48395	50656	46526	53075	54198	52925	51158	Metabolism; Amino Acid Metabolism; Cysteine and methionine metabolism
35	46632	48735	50918	51654	48647	44765	46248	53332	46551	51668	47151	43152	45287	55637	47607	54099	52912	53390	50641	52697	Metabolism; Carbohydrate Metabolism; Citrate cycle (TCA cycle)
36	50832	49165	51371	50133	49989	50683	51963	46957	49740	51996	43656	44038	45337	48139	45925	53152	45836	49247	50984	52911	Metabolism; Carbohydrate Metabolism; Galactose metabolism
37	50732	48543	42824	47160	46476	47258	51218	49876	48991	45640	50693	43616	45034	50537	48203	45766	46707	46334	44496	45625	Metabolism; Amino Acid Metabolism; Lysine biosynthesis
38	46614	48505	48003	53621	50536	47657	51454	51428	53568	51497	42790	43543	40478	46113	48140	42453	40567	40997	44633	47197	Environmental Information Processing; Membrane Transport; Secretion system
39	48211	49582	42578	44210	43105	42368	43560	49656	46527	46430	48524	44701	47814	49252	44207	45866	47134	47941	44780	49140	Environmental Information Processing; Signal Transduction; Two-component system
40	44015	45295	44125	44470	50287	47857	49019	45441	42794	47788	49011	46188	44469	44040	44716	42140	43906	47701	46881	41520	Metabolism; Metabolism of Cofactors and Vitamins; One carbon pool by folate
41	42784	45673	48756	43807	43107	49616	49644	44311	43054	46897	45534	46999	44602	47876	47531	43755	42058	47497	48426	49116	Metabolism; Glycan Biosynthesis and Metabolism; Peptidoglycan biosynthesis
42	41905	46465	42141	43466	43607	48721	46038	47681	44176	45524	49540	42826	43398	44690	43692	44333	44503	42010	44054	43360	Metabolism; Amino Acid Metabolism; Histidine metabolism
43	48824	45743	47598	50533	47872	43572	44256	49626	42789	51708	43874	38217	38319	42602	38595	45229	43259	37841	42886	37802	Genetic Information Processing; Replication and Repair; DNA replication
44	47875	46182	42610	51034	41457	44847	47434	41268	42383	40005	39668	44447	37287	38742	43889	39709	38622	41566	39767	39331	Metabolism; Carbohydrate Metabolism; Fructose and mannose metabolism
45	45237	39421	41285	40777	45378	41428	43272	38244	43894	44091	40022	42092	41033	43845	38076	43154	46063	45474	37154	43511	Metabolism; Amino Acid Metabolism; Valine, leucine and isoleucine biosynthesis
46	42014	39047	46587	45878	40503	40584	44153	39655	44048	41329	39370	37582	34226	38509	38459	39890	34446	34519	36913	36576	Genetic Information Processing; Folding, Sorting and Degradation; Protein export
47	46256	40156	44561	44597	44186	35568	40048	39605	40502	45158	34439	35568	35074	36958	31111	35594	34522	36818	37647	34798	Metabolism; Glycan Biosynthesis and Metabolism; Other glycan degradation
48	41459	34322	36342	34674	43282	39498	38933	39608	37509	41335	39456	36142	42722	36648	36743	38450	39447	36474	37418	36375	Metabolism; Metabolism of Cofactors and Vitamins; Pantothenate and CoA biosynthesis
49	36839	35019	38325	41383	40571	38053	34879	35405	34531	40396	35638	34850	38748	35442	39574	37967	42155	41254	39196	40364	Metabolism; Energy Metabolism; Nitrogen metabolism
50	38688	36311	39816	34949	38554	35076	40442	33525	40257	40649	37534	35451	35549	35819	38940	39000	35164	37258	38973	41063	Genetic Information Processing; Translation; Translation factors
51	38613	39115	39068	35024	36736	35803	37213	36221	38643	38746	37686	38282	39597	36715	39305	34447	39686	36246	40477	37522	Metabolism; Energy Metabolism; Carbon fixation in photosynthetic organisms
52	37127	38574	39165	38292	41434	37388	39139	38104	37464	40599	36214	34837	35767	31985	32225	31863	35790	33129	33864	35968	Metabolism; Glycan Biosynthesis and Metabolism; Lipopolysaccharide biosynthesis proteins
53	40632	41876	37912	37088	39041	39904	40305	39759	39588	41085	32305	32634	31391	33490	31345	33275	30916	35006	34492	36032	Unclassified; Genetic Information Processing; Protein folding and associated processing
54	34487	35877	36476	36982	35949	37394	35282	33566	34490	38801	34791	33811	37080	36264	38731	38067	32181	37604	37325	33875	Metabolism; Carbohydrate Metabolism; Pentose phosphate pathway
55	34795	34911	38794	35326	31752	40569	38990	35182	37389	33967	37892	39112	34085	32982	35234	35272	34949	36179	34947	38756	Unclassified; Metabolism; Others
56	35948	39418	39075	39459	41910	39518	37937	37911	34301	40233	36264	32981	33251	29972	35115	33690	34038	34431	34711	32690	Metabolism; Metabolism of Terpenoids and Polyketides; Terpenoid backbone biosynthesis
57	33955	36814	36333	38040	35785	33057	37410	36757	38134	38639	38621	32019	37817	38724	31843	38176	36698	35391	36306	33008	Environmental Information Processing; Membrane Transport; Bacterial secretion system
58	36771	40453	36224	35471	32737	44984	36155	37946	32585	38675	30930	30955	30223	28805	42136	33447	31263	30977	37537	33048	Genetic Information Processing; Transcription; Transcription factors
59	32071	32793	29440	33170	34928	29078	32700	34287	30078	33345	29820	27766	29242	29636	32072	31783	31400	31772	31019	35210	Metabolism; Lipid Metabolism; Lipid biosynthesis proteins
60	31750	30757	28855	32648	32033	31802	32177	33948	32185	32925	32952	32878	29850	29173	33797	31950	30936	31205	29459	31313	Cellular Processes; Cell Growth and Death; Cell cycle - Caulobacter
61	31382	28770	34717	29093	31572	29069	29729	34154	31607	34483	30974	32511	32769	35074	32493	30711	34310	33612	30054	34067	Genetic Information Processing; Folding, Sorting and Degradation; RNA degradation
62	32150	31864	30013	31359	32207	30736	28050	28599	28663	28486	30644	28728	28503	32240	29857	31718	31353	27810	28423	30463	Metabolism; Glycan Biosynthesis and Metabolism; Lipopolysaccharide biosynthesis
63	34868	28840	31552	32039	34370	28719	33413	34479	30864	33241	29487	29289	29912	27548	25258	29862	30385	28821	28903	28869	Metabolism; Metabolism of Cofactors and Vitamins; Folate biosynthesis
64	31214	29114	32531	30324	30058	29864	31063	30255	28414	28409	31069	28357	28271	29414	28143	30184	29927	31165	29861	31691	Metabolism; Lipid Metabolism; Glycerophospholipid metabolism
65	30562	27378	27817	27565	30908	27998	31977	28591	32545	31040	30271	29307	27024	31031	26479	27016	28038	31264	32925	31291	Unclassified; Cellular Processes and Signaling; Pores ion channels
66	34477	32000	29270	32578	32327	33797	33704	33407	30998	34383	29550	25963	25677	28968	29672	26928	29196	25472	30050	25500	Metabolism; Carbohydrate Metabolism; Butanoate metabolism
67	31192	29709	31274	30637	29045	30475	32225	30138	28010	30656	28576	31725	31026	31391	29252	27722	30309	30365	27252	26092	Metabolism; Metabolism of Cofactors and Vitamins; Nicotinate and nicotinamide metabolism
68	27646	30615	27940	29697	27380	31378	29000	27677	26278	29776	30941	28398	27546	25674	31670	31957	31247	28798	28210	27731	Unclassified; Genetic Information Processing; Replication, recombination and repair proteins
69	28933	26957	30365	27262	28618	28062	26467	25931	30599	31378	29761	29359	27205	27861	28143	26578	27106	32226	26076	28085	Metabolism; Metabolism of Cofactors and Vitamins; Thiamine metabolism
70	24700	26708	25796	29501	24358	27783	26003	26651	25897	25584	26776	29113	24556	28506	26174	27195	28291	25846	25204	29277	Metabolism; Carbohydrate Metabolism; Glyoxylate and dicarboxylate metabolism
71	25267	24555	27514	25033	28557	23480	24048	27787	27271	26750	25812	24663	25998	28593	23045	24437	23949	27938	26261	25811	Metabolism; Biosynthesis of Other Secondary Metabolites; Streptomycin biosynthesis
72	24233	23272	26386	24413	26502	27279	24577	23049	23911	26612	22788	24044	25124	22798	24797	26643	26646	23541	24618	26391	Genetic Information Processing; Replication and Repair; Base excision repair
73	23739	24154	21389	21620	22348	24660	23768	25113	22434	24619	24720	22077	23057	21716	24229	24886	21778	24971	22584	22617	Genetic Information Processing; Replication and Repair; Nucleotide excision repair
74	24809	23011	24819	22843	23380	20946	22372	20945	24143	24922	23190	23560	23898	22170	23326	22222	25509	25415	24242	22127	Metabolism; Metabolism of Terpenoids and Polyketides; Prenyltransferases
75	24625	24377	22173	24344	21919	21873	24022	24430	20507	23777	24078	24005	25356	25041	22554	21806	24032	24258	21058	25138	Metabolism; Carbohydrate Metabolism; Pentose and glucuronate interconversions
76	23562	23133	19158	23079	24354	21705	23580	23554	20228	21056	20544	20864	24509	21649	23073	22001	21146	24418	19831	20503	Metabolism; Energy Metabolism; Photosynthesis proteins
77	22437	24220	23244	24358	26359	21807	24993	24282	21480	25049	18985	23466	23253	20327	22704	23151	20673	20487	20819	21586	Metabolism; Energy Metabolism; Photosynthesis
78	20704	20840	23068	21952	24013	18745	20804	21456	20480	20389	19721	21175	20134	22628	19672	19748	21952	22702	18456	21223	Metabolism; Lipid Metabolism; Sphingolipid metabolism
79	24601	22017	20970	21919	20840	23409	23441	21467	23052	23563	18384	18280	19758	20613	19130	21563	20080	18528	21131	21347	Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - other enzymes
80	21574	19582	21028	19184	20752	18907	22110	19701	20851	20425	21965	18943	22688	20417	22993	21516	20145	19574	21874	20098	Metabolism; Carbohydrate Metabolism; Propanoate metabolism
81	23291	19891	19500	21396	22027	21505	21646	23714	21716	20602	17331	17892	21287	19445	16112	20343	18151	20973	18668	18591	Cellular Processes; Transport and Catabolism; Lysosome
82	19949	21258	20431	17839	19733	21749	17862	18817	21258	20686	18844	17966	19410	20585	19943	19108	19891	19381	20330	21898	Metabolism; Lipid Metabolism; Fatty acid biosynthesis
83	18764	17863	21809	19455	20961	19894	19478	21587	18872	18498	18527	19412	21552	22113	18611	19343	19149	21764	19211	21112	Metabolism; Metabolism of Other Amino Acids; Cyanoamino acid metabolism
84	20720	19315	18893	20138	18963	19502	17708	18038	19392	18564	20333	17947	19297	21023	17713	18015	18860	18001	18817	19941	Metabolism; Metabolism of Cofactors and Vitamins; Ubiquinone and other terpenoid-quinone biosynthesis
85	19397	17844	18460	19327	18339	20406	19685	21220	18246	21305	17159	16687	16333	16179	16746	18451	17911	15110	18155	18191	Metabolism; Glycan Biosynthesis and Metabolism; Glycosyltransferases
86	20391	21194	20627	17903	17622	18690	19346	18467	20813	17213	18275	18451	18256	17270	19298	16795	18276	16444	16792	16305	Metabolism; Metabolism of Other Amino Acids; Selenocompound metabolism
87	17591	16633	17326	17903	19224	17600	16875	16460	20318	17757	19333	16303	18553	19035	15657	19126	18308	17207	17408	16450	Metabolism; Glycan Biosynthesis and Metabolism; Glycosphingolipid biosynthesis - globo series
88	20299	19118	17406	18129	19337	18891	16620	19328	17103	17178	17113	17302	17167	16092	16027	15330	17482	17169	16237	16933	Metabolism; Metabolism of Terpenoids and Polyketides; Polyketide sugar unit biosynthesis
89	17121	17954	17799	20074	17790	19564	18658	17961	18588	17326	16116	15778	14758	16050	15505	16512	16374	18055	15665	16406	Metabolism; Lipid Metabolism; Glycerolipid metabolism
90	18274	15867	16601	15748	17489	18003	17693	18183	17970	17515	15119	16682	17134	16471	16420	15777	17072	16099	18531	18177	Metabolism; Metabolism of Cofactors and Vitamins; Porphyrin and chlorophyll metabolism
91	18178	16322	16008	15030	17181	15422	16748	16477	16411	15732	16125	16095	15796	18664	15376	17822	15430	16862	15627	17537	Cellular Processes; Transport and Catabolism; Peroxisome
92	18975	16648	18040	16303	18761	15730	16259	16465	19379	16432	16275	15614	14056	16366	14421	15832	16208	15640	13958	14234	Metabolism; Metabolism of Other Amino Acids; beta-Alanine metabolism
93	15792	16403	17775	17251	14069	18705	16214	15677	16657	14509	15742	17377	15784	15201	16985	16255	16884	15897	17779	16678	Unclassified; Cellular Processes and Signaling; Signal transduction mechanisms
94	16887	14508	17411	14434	15976	15639	14739	15325	17084	14997	14352	15568	14874	15785	13546	15613	16049	15315	16023	17696	Metabolism; Carbohydrate Metabolism; C5-Branched dibasic acid metabolism
95	16524	16425	16454	14597	15548	16589	15684	14431	14511	16465	14844	17227	15556	15981	18155	16625	14458	14419	17183	15808	Cellular Processes; Cell Motility; Cytoskeleton proteins
96	17521	15763	15245	14339	17540	13819	14979	14433	15874	16023	12405	13545	16040	15518	10975	14133	15604	14275	13235	15681	Metabolism; Glycan Biosynthesis and Metabolism; Glycosaminoglycan degradation
97	14734	14483	16558	13979	14203	16335	15815	14871	16290	15451	16457	13997	14008	14754	14424	13627	15766	14672	16484	15197	Metabolism; Amino Acid Metabolism; Tyrosine metabolism
98	15773	15594	14643	14601	13295	15661	13731	15527	14177	14392	14062	14477	14142	13158	14069	13481	13664	15257	15579	14643	Metabolism; Metabolism of Cofactors and Vitamins; Riboflavin metabolism
99	13529	13985	13948	13304	15376	13250	14337	13591	14375	15774	15125	14893	14818	16017	13863	13013	14937	14660	14944	14793	Metabolism; Metabolism of Cofactors and Vitamins; Vitamin B6 metabolism
100	13090	13528	15052	13795	15725	14493	13048	15058	13066	14784	13180	14259	15630	13179	13997	14708	13595	13101	15317	14864	Metabolism; Amino Acid Metabolism; Valine, leucine and isoleucine degradation
101	12981	12559	14222	14297	15631	14616	13780	13569	15038	13777	13706	13772	14599	14038	13445	14617	13840	14191	13938	14604	Unclassified; Metabolism; Amino acid metabolism
102	14456	14033	13756	14223	12041	13687	14151	13756	14104	14656	12051	12838	11105	10323	11872	11984	11711	11816	12038	11042	Unclassified; Genetic Information Processing; Restriction enzyme
103	14129	11983	13990	12778	13618	12243	13139	12195	13386	14012	10899	10420	13087	11822	9476	10852	11474	11460	12516	11767	Metabolism; Glycan Biosynthesis and Metabolism; Glycosphingolipid biosynthesis - ganglio series
104	13116	13063	12273	14690	13421	11610	14336	12464	14418	13251	12182	11613	11289	13618	10460	10885	11578	13376	10825	11155	Metabolism; Metabolism of Cofactors and Vitamins; Biotin metabolism
105	14194	13233	14319	13284	12883	11674	13448	12976	12344	12851	10992	10561	10373	11639	11380	12026	10508	10588	11058	12328	Metabolism; Energy Metabolism; Sulfur metabolism
106	12941	10872	12925	11798	12557	11854	11457	14143	12606	11719	11231	12103	12417	12247	11040	12639	11980	11047	11447	11957	Metabolism; Biosynthesis of Other Secondary Metabolites; Phenylpropanoid biosynthesis
107	12575	13471	12469	10995	12069	11116	13102	11138	12585	12192	10290	10508	11580	11742	11217	11465	9831	10411	10270	11594	Metabolism; Metabolism of Other Amino Acids; D-Glutamine and D-glutamate metabolism
108	12433	12166	11653	11802	11374	11117	10185	10324	12316	11078	10733	10926	10729	11838	10229	10792	11971	11436	11616	12277	Unclassified; Cellular Processes and Signaling; Cell motility and secretion
109	11929	11414	10918	10281	10990	10116	12050	10590	11064	11276	11988	11094	12136	11006	10769	10743	9962	11682	11358	10683	Metabolism; Amino Acid Metabolism; Tryptophan metabolism
110	11287	10809	11800	11881	12104	10663	12037	10356	11319	10263	10175	9989	10248	10606	10223	11144	12039	11719	10183	10299	Unclassified; Cellular Processes and Signaling; Inorganic ion transport and metabolism
111	10425	10874	9356	10390	9031	11216	10370	10323	9798	8879	9280	10021	8797	10023	10702	9525	9809	10518	9431	9851	Unclassified; Cellular Processes and Signaling; Other transporters
112	9171	10401	10814	10422	10075	11135	9621	10325	9452	10503	8575	9216	7575	7663	8599	7985	8310	8719	9102	9144	Metabolism; Lipid Metabolism; Fatty acid metabolism
113	9673	9285	9653	8969	8571	8563	10096	9619	8179	9198	8632	9960	9439	8662	8832	8933	8187	8610	9893	8927	Metabolism; Amino Acid Metabolism; Phenylalanine metabolism
114	8301	8372	8264	8270	8474	8263	8382	8853	9883	9336	8981	8569	8334	8759	8945	9039	8220	8497	8210	8100	Genetic Information Processing; Transcription; RNA polymerase
115	9378	9170	10517	9510	9850	10593	9890	9190	8856	9997	7831	7865	8821	8047	8200	8023	7534	8883	8398	9024	Metabolism; Enzyme Families; Protein kinases
116	8174	9295	8522	9486	9556	9375	8297	9800	8415	8844	9004	9443	8656	8021	9232	8406	9170	9236	8238	8498	Metabolism; Metabolism of Other Amino Acids; Glutathione metabolism
117	9626	9015	8249	8414	9051	9225	8955	8226	8037	7941	8468	9169	9034	8988	9359	8401	8833	8703	9446	9062	Human Diseases; Infectious Diseases; Tuberculosis
118	9067	9176	9350	9353	9560	9075	9911	9884	9696	9906	9020	8467	8908	8172	8604	8437	8137	8921	7701	8423	Metabolism; Metabolism of Other Amino Acids; Taurine and hypotaurine metabolism
119	7811	7972	8324	9127	7856	8499	8083	8664	7801	8088	9196	9194	9207	8088	8992	7853	9458	8398	8909	8075	Metabolism; Biosynthesis of Other Secondary Metabolites; Novobiocin biosynthesis
120	10069	8492	7959	9585	8698	7890	8199	9547	9590	9627	8816	7813	8271	9033	6590	8540	7828	8452	7692	7910	Metabolism; Xenobiotics Biodegradation and Metabolism; Toluene degradation
121	8265	7900	8465	8212	7627	7307	8655	8180	8036	8496	7244	7785	8760	8746	6579	7419	7683	7586	7830	8657	Unclassified; Cellular Processes and Signaling; Cell division
122	5853	10286	6792	13685	1817	12102	8923	6983	2773	4959	7215	13598	6056	1390	15849	7065	2155	6341	6842	5050	Environmental Information Processing; Membrane Transport; Phosphotransferase system (PTS)
123	5840	7618	5887	6521	5706	7491	6713	6952	6354	6277	7174	7073	6506	5964	7692	6339	6254	6046	7242	6559	Metabolism; Amino Acid Metabolism; Lysine degradation
124	6101	6345	6481	7510	5402	7551	5821	6086	5806	6146	6023	6310	7049	5733	6869	6081	6373	6111	6263	6620	Genetic Information Processing; Folding, Sorting and Degradation; Sulfur relay system
125	7152	6002	6872	5978	6081	6781	5834	6838	6166	6641	6020	6578	5820	6171	6201	5847	5890	5734	5996	6740	Metabolism; Xenobiotics Biodegradation and Metabolism; Aminobenzoate degradation
126	6173	7070	7217	6008	6872	7619	6667	6991	6574	6494	5457	5731	6237	5881	5684	6293	6096	5672	6473	6401	Organismal Systems; Environmental Adaptation; Plant-pathogen interaction
127	7151	6762	7230	7130	5867	7901	6698	6302	6042	6609	5437	5958	6175	5986	6438	5711	5386	6109	5780	5747	Metabolism; Xenobiotics Biodegradation and Metabolism; Benzoate degradation
128	6796	6922	6413	7155	6182	6681	5684	6768	6365	5651	6613	7013	6457	5666	6462	6868	5605	5707	6332	6139	Metabolism; Xenobiotics Biodegradation and Metabolism; Polycyclic aromatic hydrocarbon degradation
129	6716	6931	6847	5507	6397	6329	6318	6150	6662	5915	5789	5905	6622	5682	6180	6431	6734	5953	6912	5835	Organismal Systems; Endocrine System; PPAR signaling pathway
130	5615	6403	5937	6040	6160	5942	6730	6748	6472	5707	6224	6084	6113	6385	6294	6397	6736	6578	6750	6567	Environmental Information Processing; Signaling Molecules and Interaction; Bacterial toxins
131	5949	6243	5729	6415	5865	6843	6720	5966	5614	6370	5863	6355	6270	5573	6642	5856	6120	5973	5707	6610	Organismal Systems; Nervous System; Glutamatergic synapse
132	5523	5691	6339	5937	5863	5590	6001	6026	6632	6638	5767	5518	5677	6727	6346	6502	6615	5917	5926	5948	Metabolism; Biosynthesis of Other Secondary Metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis
133	5732	6247	5998	6627	6052	6985	6256	6349	5581	6306	6220	5674	6640	6243	6612	6110	6623	6512	5829	6487	Genetic Information Processing; Translation; RNA transport
134	5960	6441	6600	5858	6727	6671	6667	6669	6061	6981	5450	5376	5199	5059	5455	5460	5736	5892	5684	5835	Metabolism; Metabolism of Other Amino Acids; D-Alanine metabolism
135	6654	6253	6117	6105	6168	6405	6054	6120	6763	6254	6095	6164	5864	5921	5423	6326	6499	5893	5923	6292	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
136	5813	6793	5911	6236	5678	5928	6240	6236	5806	5866	5193	5012	5202	5488	5791	5125	5272	5885	5350	5725	Human Diseases; Infectious Diseases; Epithelial cell signaling in Helicobacter pylori infection
137	6116	5403	6396	5188	5535	5560	6366	5881	6432	6150	5391	5438	5849	6139	5138	5382	5622	5483	6274	5694	Metabolism; Xenobiotics Biodegradation and Metabolism; Naphthalene degradation
138	6568	5688	5936	6378	6381	6498	6485	6640	6497	6555	5630	6178	6028	5044	5918	5978	5098	5454	5415	5706	Environmental Information Processing; Signal Transduction; Phosphatidylinositol signaling system
139	6460	5703	5811	6549	6704	6566	6818	6516	6543	5811	5056	5343	4970	5797	5075	5226	4954	4943	5629	5215	Environmental Information Processing; Signaling Molecules and Interaction; Cellular antigens
140	5945	5625	5548	6087	5934	5941	6126	6226	6157	6578	4963	4868	5523	5989	5089	5638	5670	4898	5443	5358	Metabolism; Carbohydrate Metabolism; Inositol phosphate metabolism
141	6317	5905	6476	5554	6120	5645	6396	6119	6008	6448	5800	5061	5117	5469	5523	4857	4988	5809	5456	4984	Genetic Information Processing; Folding, Sorting and Degradation; Protein processing in endoplasmic reticulum
142	5739	5758	5486	6059	5907	6265	6066	6205	5579	6378	5640	5140	5036	5473	4762	5133	5447	5081	5497	5030	Metabolism; Biosynthesis of Other Secondary Metabolites; Butirosin and neomycin biosynthesis
143	5792	6207	5742	5475	5460	5361	5223	5567	6159	5725	5395	5743	5393	5905	5832	5682	5875	5469	5940	5472	Metabolism; Metabolism of Terpenoids and Polyketides; Biosynthesis of vancomycin group antibiotics
144	5504	5307	5348	6107	6681	5547	6740	5966	5659	6387	5666	5136	5847	5600	5703	5157	5586	5194	4737	5647	Metabolism; Xenobiotics Biodegradation and Metabolism; Chloroalkane and chloroalkene degradation
145	4523	5262	7274	5862	5106	8003	4308	5843	4895	7404	5748	3776	4231	5731	6590	5629	5007	4737	6769	6198	Cellular Processes; Cell Motility; Bacterial motility proteins
146	5895	5877	5347	5399	6107	5278	5059	5708	5670	5838	6073	5334	5877	5202	5311	5602	6172	6013	5735	5671	Human Diseases; Metabolic Diseases; Type I diabetes mellitus
147	5759	5382	5841	5515	5591	5141	5874	5023	5757	5942	4980	5808	5267	5555	4859	5818	5802	5291	5473	5960	Metabolism; Carbohydrate Metabolism; Ascorbate and aldarate metabolism
